id	cash	real-time	30day	60day	90day	180day	360day
USD	30.045	30.345	30.332	30.305	30.27	30.231	30.183
HKD	3.741	3.861	3.86	3.859	3.857	3.855	3.851
GBP	38.31	39.18	39.174	39.163	39.151	39.135	39.105
AUD	23.26	23.45	23.434	23.401	23.367	23.326	23.278
CAD	23.51	23.78	23.773	23.76	23.744	23.721	23.69
SGD	21.62	22.04	22.032	22.016	22.002	21.98	21.954
CHF	30.77	31.3	31.306	31.317	31.339	31.361	31.375
JPY	0.26	0.2664	0.2664	0.2664	0.2664	0.2664	0.2664
ZAR	1000000	2.26	2.254	2.243	2.229	2.214	2.199
SEK	3.25	3.59	3.59	3.59	3.593	3.594	3.595
NZD	21.93	22.17	22.155	22.124	22.087	22.045	21.995
THB	0.7932	0.8817	1100000	2100000	3100000	4100000	5100000
PHP	0.5519	1000000	1200000	2200000	3200000	4200000	5200000
IDR	0.00198	2000000	1300000	2300000	3300000	4300000	5300000
EUR	33.99	34.49	34.491	34.493	34.505	34.518	34.522
KRW	0.02507	3000000	1400000	2400000	3400000	4400000	5400000
VND	0.00097	4000000	1500000	2500000	3500000	4500000	5500000
MYR	6.028	5000000	1600000	2600000	3600000	4600000	5600000
CNY	4.385	4.457	4.4513	4.44	4.4245	4.4096	4.3929
