id,gender,age,active,Seniority,Income,Funds,Taxes,Credit_Card,Securities,particular,Saving,Loans,Payroll,km,km_n,age_C,Seniority_C,Income_C
1110801,V,39,1,41,10.817,0,0,0,0,0,0,0,1,叢集-1,1,3,2,2
1110785,H,52,1,41,11.989,0,0,0,0,0,0,0,0,叢集-2,2,4,2,3
1110777,V,44,1,41,10.825,0,0,0,0,0,0,0,0,叢集-2,2,3,2,2
1110776,V,33,1,41,11.083,0,0,0,0,0,0,0,0,叢集-1,1,3,2,2
1110775,V,34,1,41,11.38,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
1110770,H,42,1,41,12.109,0,0,0,0,0,0,0,0,叢集-2,2,3,2,4
1110767,V,45,1,41,11.173,0,0,0,0,0,0,0,0,叢集-2,2,3,2,2
1110802,V,47,1,41,11.587,0,0,0,0,0,0,0,1,叢集-2,2,4,2,3
1110805,H,39,1,41,11.267,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
1110844,H,46,1,41,11.707,0,1,0,0,0,0,0,1,叢集-2,2,4,2,3
1110839,V,30,1,41,11.7,0,1,0,0,0,0,0,1,叢集-1,1,2,2,3
1110837,V,51,1,41,11.614,0,0,0,0,0,0,0,0,叢集-2,2,4,2,3
1110832,V,48,1,41,11.185,0,0,0,0,0,0,0,0,叢集-2,2,4,2,2
1110829,V,48,1,41,11.347,0,1,0,0,0,0,0,0,叢集-2,2,4,2,3
1110828,V,32,1,41,11.583,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
746563,V,43,1,99,11.951,0,0,0,0,0,0,0,0,叢集-2,2,3,3,3
746607,V,50,1,99,12.272,0,0,0,0,0,0,0,0,叢集-2,2,4,3,4
746610,V,49,0,99,11.58,0,0,0,0,0,0,0,0,叢集-2,2,4,3,3
1110445,H,24,0,41,11.904,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110446,H,28,0,41,11.04,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110473,H,26,1,41,11.48,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110472,H,25,0,41,11.023,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110471,H,25,0,41,11.277,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110470,V,27,0,41,11.956,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110467,H,25,1,41,11.556,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110466,H,26,0,41,12.233,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110465,V,31,0,41,10.459,0,0,0,0,0,0,0,0,叢集-1,1,3,2,1
1110463,V,24,1,41,11.06,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110462,V,37,1,41,12.127,0,0,0,0,0,0,0,0,叢集-1,1,3,2,4
1110461,H,24,0,41,10.659,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110459,V,24,0,41,11.548,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110458,V,27,0,41,11.339,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110457,H,25,0,41,10.877,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110456,H,31,0,41,13.604,0,0,0,0,0,0,0,0,叢集-1,1,3,2,5
1110455,V,23,0,41,11.436,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110454,H,25,0,41,12.195,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110453,H,24,0,41,10.946,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110452,V,31,0,41,10.809,0,0,0,0,0,0,0,0,叢集-1,1,3,2,2
1110451,H,25,0,41,11.266,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110450,V,32,0,41,10.159,0,0,0,0,0,0,0,0,叢集-1,1,3,2,1
1110448,V,26,0,41,11.386,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110447,H,26,0,41,11.679,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110415,H,32,0,41,10.696,0,0,0,0,0,0,0,0,叢集-1,1,3,2,2
1110474,H,28,0,41,11.331,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110414,H,24,0,41,11.083,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110412,H,24,1,41,11.094,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110380,H,25,0,41,11.102,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110379,V,26,0,41,12.263,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110378,H,23,1,41,11.21,0,1,0,0,0,0,0,0,叢集-1,1,2,2,2
1110376,V,27,0,41,10.874,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110375,V,26,0,41,12.526,0,0,0,0,0,0,0,0,叢集-1,1,2,2,5
1110374,H,25,0,41,10.688,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110373,V,24,0,41,11.421,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110372,H,26,0,41,11.666,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110371,H,23,0,41,10.461,0,0,0,0,0,0,0,0,叢集-1,1,2,2,1
1110370,V,26,0,41,11.804,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110381,V,25,0,41,11.29,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110369,H,29,0,41,11.659,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110367,H,63,0,41,12.576,0,0,0,0,0,0,0,0,叢集-2,2,4,2,5
1110366,V,25,1,41,10.507,0,0,0,0,0,0,0,0,叢集-1,1,2,2,1
1110365,V,23,0,41,12.476,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110364,V,28,0,41,11.2,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110363,V,28,0,41,11.245,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110360,H,25,0,41,11.107,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110359,H,23,1,41,12.078,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110358,H,24,0,41,10.925,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110357,V,30,1,41,11.164,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110356,H,28,0,41,13.704,0,0,0,0,0,0,0,0,叢集-1,1,2,2,5
1110368,H,27,1,41,11.904,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110383,H,26,0,41,10.081,0,0,0,0,0,0,0,0,叢集-1,1,2,2,1
1110384,V,23,0,41,11.948,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110385,H,25,0,41,11.102,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110411,H,24,0,41,10.987,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110410,H,24,0,41,12.161,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110409,V,24,0,41,11.09,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110406,V,25,1,41,11.45,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110405,H,32,1,41,11.516,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
1110404,V,35,0,41,11.541,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
1110401,H,25,0,41,11.543,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110400,V,24,0,41,11.17,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110397,H,26,0,41,11.653,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110396,V,24,0,41,11.355,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110395,V,26,0,41,13.215,0,0,0,0,0,0,0,0,叢集-1,1,2,2,5
1110394,H,24,0,41,10.716,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110393,H,24,0,41,11.935,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110391,V,25,0,41,11.95,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110390,V,25,0,41,11.548,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110387,V,26,0,41,11.77,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110386,V,25,0,41,10.722,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110413,H,23,1,41,11.368,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110475,V,28,0,41,11.983,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110566,V,26,0,41,11.287,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110565,H,29,0,41,11.862,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110563,H,29,1,41,11.941,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110561,V,32,0,41,11.947,0,0,0,0,0,0,0,0,叢集-1,1,3,2,3
1110560,V,29,0,41,10.761,0,0,0,0,0,0,0,0,叢集-1,1,2,2,2
1110559,V,26,0,41,11.528,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110558,H,24,0,41,12.178,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110557,V,30,0,41,12.019,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
1110556,V,29,0,41,12.459,0,0,0,0,0,0,0,0,叢集-1,1,2,2,4
1110550,V,27,0,41,11.743,0,0,0,0,0,0,0,0,叢集-1,1,2,2,3
